user_id,trigger_at,is_sent
8030,2026-08-19 03:15:00,FALSE
2303,2025-01-28 09:30:00,TRUE
3325,2025-11-07 04:15:00,TRUE
4442,2025-02-04 20:45:00,TRUE
4345,2025-10-31 06:30:00,TRUE
4045,2027-04-15 00:30:00,FALSE
6606,2025-12-23 08:45:00,TRUE
978,2027-01-04 16:30:00,FALSE
1387,2027-07-25 11:45:00,FALSE
7274,2027-10-28 00:00:00,FALSE
9242,2025-12-14 00:30:00,TRUE
6275,2026-09-09 15:15:00,FALSE
6025,2025-01-22 17:30:00,TRUE
6061,2026-09-19 10:30:00,FALSE
4534,2027-02-08 13:00:00,FALSE
9677,2027-08-24 00:00:00,FALSE
2073,2025-05-06 03:00:00,TRUE
7966,2026-08-25 09:45:00,FALSE
9387,2027-08-11 01:30:00,FALSE
1405,2027-02-18 01:00:00,FALSE
5697,2025-06-07 06:15:00,TRUE
9770,2025-01-19 22:00:00,TRUE
7189,2026-09-11 23:15:00,FALSE
188,2027-04-16 22:00:00,FALSE
3239,2026-02-08 11:00:00,TRUE
216,2025-05-15 14:45:00,TRUE
4748,2026-04-05 18:00:00,TRUE
2518,2027-03-31 07:00:00,FALSE
4177,2026-09-05 13:30:00,FALSE
9286,2025-03-06 07:30:00,TRUE
9896,2026-11-20 16:45:00,FALSE
749,2025-12-06 14:45:00,TRUE
5761,2027-09-02 12:00:00,FALSE
9443,2025-12-25 19:00:00,TRUE
2127,2027-03-13 01:30:00,FALSE
5989,2026-08-26 00:45:00,FALSE
1311,2027-12-29 21:15:00,FALSE
5134,2027-08-20 18:00:00,FALSE
4949,2025-03-03 16:45:00,TRUE
7774,2027-04-28 06:15:00,FALSE
3277,2025-03-04 12:00:00,TRUE
1941,2027-10-10 12:45:00,FALSE
3191,2027-02-08 04:15:00,FALSE
472,2026-07-16 12:15:00,FALSE
5174,2027-01-13 14:45:00,FALSE
9181,2027-09-05 23:15:00,FALSE
388,2027-05-27 13:30:00,FALSE
3129,2027-02-17 02:45:00,FALSE
1612,2026-12-15 17:00:00,FALSE
9386,2027-11-03 07:15:00,FALSE
5634,2025-04-20 02:30:00,TRUE
8879,2027-06-30 09:00:00,FALSE
1007,2026-12-10 14:00:00,FALSE
8055,2025-10-25 23:15:00,TRUE
4813,2027-12-12 08:15:00,FALSE
1830,2027-12-17 17:45:00,FALSE
10001,2027-06-29 10:15:00,FALSE
8819,2026-09-07 16:15:00,FALSE
6978,2027-12-15 11:00:00,FALSE
5945,2026-03-07 00:15:00,TRUE
7625,2026-07-14 08:15:00,FALSE
4340,2026-12-02 14:30:00,FALSE
258,2027-01-16 15:30:00,FALSE
9214,2027-10-29 18:45:00,FALSE
2650,2025-09-10 13:15:00,TRUE
7557,2027-06-05 02:45:00,FALSE
9976,2026-09-15 20:45:00,FALSE
9573,2026-08-24 15:45:00,FALSE
5596,2025-04-13 10:15:00,TRUE
7298,2027-01-01 11:00:00,FALSE
4802,2027-12-22 03:45:00,FALSE
2403,2027-09-09 20:30:00,FALSE
9631,2025-12-13 15:00:00,TRUE
3460,2027-01-10 01:00:00,FALSE
112,2026-01-24 09:15:00,TRUE
3464,2025-09-26 11:15:00,TRUE
9262,2025-01-20 12:00:00,TRUE
